callsign,number,icao24,registration,typecode,origin,destination,firstseen,lastseen,day,latitude_1,longitude_1,altitude_1,latitude_2,longitude_2,altitude_2
QTR905,,06a14b,,,YMML,OTHH,2018-12-31 11:31:42+00:00,2019-01-01 01:38:42+00:00,2019-01-01 00:00:00+00:00,-37.69548836,144.8428544,0,25.22286987,51.64113363,160.02
JNA096,,71c017,HL8017,B738,,,2018-12-31 11:36:15+00:00,2019-01-01 01:21:53+00:00,2019-01-01 00:00:00+00:00,36.72665405,126.5406418,7620,36.88989258,126.8960052,3924.3
SWR147,,4b1886,HB-JHM,A333,LSZH,LSZH,2018-12-31 11:36:17+00:00,2019-01-01 05:23:25+00:00,2019-01-01 00:00:00+00:00,47.46008792,8.552222619,0,47.4695549,8.540222168,266.7
CPA826,,780a35,B-KQC,B77W,,CYYZ,2018-12-31 11:37:15+00:00,2019-01-01 01:09:54+00:00,2019-01-01 00:00:00+00:00,23.42179871,119.9848355,9448.8,43.66739564,-79.67389788,342.9
CES201,,780d22,B-5961,A332,RCTP,EGKK,2018-12-31 11:43:04+00:00,2019-01-01 05:43:23+00:00,2019-01-01 00:00:00+00:00,25.09240723,121.2643433,609.6,51.1574707,-0.122928104,76.2
QFA9,,7c806b,,,YPPH,EGLL,2018-12-31 11:49:14+00:00,2019-01-01 05:07:40+00:00,2019-01-01 00:00:00+00:00,-31.95176697,115.9617371,0,51.46494203,-0.433578491,-137.16
ETD10K,,8964bb,A6-BLK,B789,YMML,OMAA,2018-12-31 11:49:15+00:00,2019-01-01 01:24:55+00:00,2019-01-01 00:00:00+00:00,-37.6932073,144.8424961,304.8,24.34263611,54.77849325,708.66
CHH7903,,7.81E+05,B-5905,A333,,EGCC,2018-12-31 11:50:52+00:00,2019-01-01 04:17:29+00:00,2019-01-01 00:00:00+00:00,36.59629692,111.9169065,8839.2,53.36380005,-2.254237584,-60.96
UAE7DK,,896187,A6-EEH,A388,YMML,OMDB,2018-12-31 11:52:36+00:00,2019-01-01 01:43:50+00:00,2019-01-01 00:00:00+00:00,-37.69299316,144.8424644,0,25.24464798,55.37124634,-60.96
HAL50,,a48730,N391HA,A332,RJBB,KJFK,2018-12-31 11:56:08+00:00,2019-01-01 12:06:55+00:00,2019-01-01 00:00:00+00:00,34.43105924,135.2497101,-304.8,40.71519237,-73.69984713,556.26
CPA890,,789203,B-LRV,A359,,KEWR,2018-12-31 11:56:25+00:00,2019-01-01 01:41:29+00:00,2019-01-01 00:00:00+00:00,23.34720418,119.8887126,10668,40.72845976,-74.141922,190.5
ETH673,,40049,ET-AOS,B788,,,2018-12-31 12:03:39+00:00,2019-01-01 01:11:50+00:00,2019-01-01 00:00:00+00:00,35.77744306,140.0538863,6400.8,22.04416049,57.32650757,11582.4
DAL1284,,a15b05,N187DN,B763,RJBB,KLAX,2018-12-31 12:03:42+00:00,2019-01-01 03:33:50+00:00,2019-01-01 00:00:00+00:00,34.42977905,135.247809,-304.8,33.95393372,-118.3841877,152.4
AZU8726,,e49368,,,,KFLL,2018-12-31 12:04:52+00:00,2019-01-01 01:45:47+00:00,2019-01-01 00:00:00+00:00,-8.048721313,-35.23706468,4267.2,26.07685283,-80.14901381,-60.96
CES5043,,780d1b,,,,RKPK,2018-12-31 12:09:50+00:00,2019-01-01 02:04:59+00:00,2019-01-01 00:00:00+00:00,26.49485779,119.723148,5181.6,35.16091919,128.9393585,-106.68
UAE441,,89644c,A6-EPW,B77W,YPAD,OMDB,2018-12-31 12:14:25+00:00,2019-01-01 01:07:59+00:00,2019-01-01 00:00:00+00:00,-34.98312378,138.3878809,1219.2,25.24818808,55.36451232,-60.96
EVA032,,899031,B-16728,B77W,RCTP,KJFK,2018-12-31 12:16:55+00:00,2019-01-01 01:54:34+00:00,2019-01-01 00:00:00+00:00,25.11013742,121.2873524,304.8,40.67897473,-73.72843656,220.98
EVA036,,8.99E+06,B-16721,B77W,RCTP,CYYZ,2018-12-31 12:18:52+00:00,2019-01-01 01:19:39+00:00,2019-01-01 00:00:00+00:00,25.11176675,121.2895807,304.8,43.66739564,-79.67389788,342.9
CES597,,780c00,B-5942,A332,,CYVR,2018-12-31 12:22:21+00:00,2019-01-01 01:44:28+00:00,2019-01-01 00:00:00+00:00,25.30691528,119.0387472,11887.2,49.2011261,-123.1652597,-167.64
CPA745,,780a0b,B-LAN,A333,RPLL,OMDB,2018-12-31 12:25:54+00:00,2019-01-01 03:01:58+00:00,2019-01-01 00:00:00+00:00,14.52346802,121.0469371,304.8,25.25428391,55.36766052,-68.58
CPA199,,780abc,B-LRQ,A359,LLBG,NZAA,2018-12-31 12:27:41+00:00,2019-01-01 18:08:40+00:00,2019-01-01 00:00:00+00:00,32.00486135,34.87846686,-304.8,-37.01023865,174.7928311,-15.24
EZY3092,,440031,,,EGSS,EGSS,2018-12-31 12:27:53+00:00,2019-01-01 00:15:21+00:00,2019-01-01 00:00:00+00:00,51.87534656,0.220489502,0,51.89778473,0.253941127,-22.86
CSC8699,,78107a,B-8468,A332,,KLAX,2018-12-31 12:31:29+00:00,2019-01-01 02:54:23+00:00,2019-01-01 00:00:00+00:00,35.77519226,113.8457108,8534.4,33.95411682,-118.3826182,137.16
SWR38,,4b191d,HB-JNH,B77W,LSZH,KSFO,2018-12-31 12:33:46+00:00,2019-01-01 00:06:14+00:00,2019-01-01 00:00:00+00:00,47.46134483,8.559405987,0,37.61677551,-122.3703977,-45.72
ACA2315,,c05840,C-GHKX,A333,CYYZ,RJTK,2018-12-31 12:33:59+00:00,2019-01-01 02:16:59+00:00,2019-01-01 00:00:00+00:00,43.67717161,-79.659838,0,35.47366333,139.8519516,411.48
THY5,,4ba949,TC-JJI,B77W,LTBA,KORD,2018-12-31 12:34:37+00:00,2019-01-01 00:12:05+00:00,2019-01-01 00:00:00+00:00,40.91066522,28.86189547,914.4,41.96581824,-87.80886628,678.18
UAL383,,aa6e81,N771UA,B772,,KDEN,2018-12-31 12:37:26+00:00,2019-01-01 14:19:23+00:00,2019-01-01 00:00:00+00:00,35.74845886,140.6892586,4267.2,39.88404872,-104.696228,1531.62
ETD889,,896489,A6-BLI,B789,,OMAA,2018-12-31 12:37:35+00:00,2019-01-01 02:29:43+00:00,2019-01-01 00:00:00+00:00,35.07577515,136.2382601,5486.4,24.39770508,54.70102946,182.88
HAL22,,a410b3,N361HA,,YBBN,KSEA,2018-12-31 12:38:48+00:00,2019-01-01 05:51:42+00:00,2019-01-01 00:00:00+00:00,-27.36545369,153.1396954,0,47.41081238,-122.3083191,83.82
ACA844,,c02ec7,C-FRSO,B789,EDDF,EDDF,2018-12-31 12:38:52+00:00,2019-01-01 10:09:55+00:00,2019-01-01 00:00:00+00:00,50.03581238,8.547796952,-304.8,50.0382843,8.57916581,-15.24
QFA10,,7c8067,,,EGLL,YPPH,2018-12-31 12:41:06+00:00,2019-01-01 04:45:28+00:00,2019-01-01 00:00:00+00:00,51.47751113,-0.483093262,-304.8,-31.93613861,115.9662426,60.96
ETH610,,04012b,ET-ATR,A359,,VABB,2018-12-31 12:41:10+00:00,2019-01-01 00:48:21+00:00,2019-01-01 00:00:00+00:00,-25.82684326,28.65198771,5486.4,19.08982086,72.87155424,
SVA941,,710100,,,FABA,EHAM,2018-12-31 12:41:43+00:00,2019-01-01 09:22:21+00:00,2019-01-01 00:00:00+00:00,-26.00612834,28.27553382,3048,52.29770279,4.765834808,
UAE431,,896108,A6-ECA,B77W,YBBN,OMDB,2018-12-31 12:42:37+00:00,2019-01-01 03:04:55+00:00,2019-01-01 00:00:00+00:00,-27.36843303,153.1377411,0,25.24684525,55.36797841,
AFR552,,3949f5,F-GSPV,B772,LFPG,RCTP,2018-12-31 12:43:35+00:00,2019-01-01 01:02:44+00:00,2019-01-01 00:00:00+00:00,48.99559021,2.551081731,0,25.0296486,121.1610096,266.7
HAL451,,a48e9e,,,RJTT,YSSY,2018-12-31 12:47:25+00:00,2019-01-01 09:09:58+00:00,2019-01-01 00:00:00+00:00,35.5823822,139.7797394,304.8,-33.98574053,151.1861229,152.4
BOX513,,3c4581,D-AALA,B77L,,OMDB,2018-12-31 12:48:20+00:00,2019-01-01 05:42:26+00:00,2019-01-01 00:00:00+00:00,41.1587421,69.50768904,3962.4,25.26224899,55.36223094,-83.82
THY53,,4bb1c5,TC-LNE,A333,,LTBA,2018-12-31 12:49:14+00:00,2019-01-01 00:30:19+00:00,2019-01-01 00:00:00+00:00,36.02072506,140.1484972,2743.2,40.85069275,28.78546143,861.06
